SITE_ID,dataset,start_year,end_year,path,dup,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent
US-Dk1,AmeriFlux,2001,2008,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Dk1_FLUXNET2015_FULLSET_MM_2001-2008_beta-5.csv,False,GRA,168.0,35.9712,-79.0934,Duke Forest-open field,14,3,Cfa,Temperate,C3,1.95
US-Dk2,AmeriFlux,2001,2008,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Dk2_FLUXNET2015_FULLSET_MM_2001-2008_beta-5.csv,False,DBF,168.0,35.9736,-79.1004,Duke Forest-hardwoods,14,3,Cfa,Temperate,C3,1.95
US-Dk3,AmeriFlux,2001,2008,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Dk3_FLUXNET2015_FULLSET_MM_2001-2008_beta-5.csv,False,ENF,163.0,35.9782,-79.0942,Duke Forest - loblolly pine,14,3,Cfa,Temperate,C3,1.95
US-FR2,AmeriFlux,2005,2008,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-FR2_FLUXNET2015_FULLSET_MM_2005-2008_beta-3.csv,False,WSA,271.9,29.9495,-97.9962,Freeman Ranch- Mesquite Juniper,14,3,Cfa,Temperate,C3,18.37
US-Fmf,AmeriFlux,2005,2010,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Fmf_FLUXNET2015_FULLSET_MM_2005-2010_beta-5.csv,False,ENF,2160.0,35.1426,-111.7273,Flagstaff - Managed Forest,18,4,Dsb,Cold,C3,30.3
US-Fuf,AmeriFlux,2005,2010,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Fuf_FLUXNET2015_FULLSET_MM_2005-2010_beta-5.csv,False,ENF,2180.0,35.089,-111.762,Flagstaff - Unmanaged Forest,18,4,Dsb,Cold,C3,30.3
US-Ho1,AmeriFlux,1996,2018,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Ho1_FLUXNET2015_FULLSET_MM_1996-2018_beta-3.csv,False,ENF,60.0,45.2041,-68.7402,Howland Forest (main tower),26,4,Dfb,Cold,C3,0.0
US-KFS,AmeriFlux,2007,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-KFS_FLUXNET2015_FULLSET_MM_2007-2017_beta-5.csv,False,GRA,310.0,39.0561,-95.1907,Kansas Field Station,25,4,Dfa,Cold,mix,48.63
US-MMS,AmeriFlux,1999,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-MMS_FLUXNET2015_FULLSET_MM_1999-2017_beta-3.csv,True,DBF,275.0,39.3232,-86.4131,Morgan Monroe State Forest,25,4,Dfa,Cold,C3,42.28
US-Me2,AmeriFlux,2002,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Me2_FLUXNET2015_FULLSET_MM_2002-2017_beta-5.csv,True,ENF,1253.0,44.4523,-121.5574,Metolius mature ponderosa pine,18,4,Dsb,Cold,C3,0.03
