encoder_index,month,day,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,GPP_NT_VUT_REF,encoder_attention
-295,0.014882981,0.007959908,0.0070838328,0.004261616,0.16171905,0.034902632,0.1289864,0.016041754,0.013586542,0.021570854,0.0393334,0.03087302,0.015063634,0.024213009,0.01269216,0.028499635,0.00350939,0.0037458178,0.022921272,0.015519447,0.016262915,0.0049693617,0.021231873,0.020934258,0.013226386,0.010314148,0.020845206,0.004433192,0.0017605369,0.021275569,0.0025738345,0.039958466,0.021891592,0.014600767,0.016170146,0.09650895,0.065676495,0.00030481518
-294,0.012149254,0.0077619143,0.0060090455,0.004219085,0.11219314,0.022531353,0.13951021,0.05305447,0.014270948,0.01779587,0.035144225,0.017222382,0.015384564,0.018461548,0.008815284,0.021236261,0.0031537134,0.002869578,0.01792907,0.015789945,0.015715849,0.0035423764,0.017760308,0.012792282,0.014295475,0.009442898,0.017882021,0.008502325,0.002497927,0.01689452,0.0030259888,0.030741388,0.0144580025,0.016831895,0.017076798,0.17411338,0.07892469,0.0011156292
-293,0.0150162615,0.009605676,0.00600916,0.0032609866,0.1279857,0.0320269,0.12226573,0.015246904,0.012996504,0.020798545,0.035892144,0.026343523,0.014613338,0.02909609,0.010952872,0.02549302,0.0035563372,0.0027151366,0.020510374,0.014893111,0.015493582,0.0043815533,0.019857816,0.015338577,0.012688021,0.009960989,0.01969905,0.007380764,0.0021064293,0.019872777,0.002998001,0.03672177,0.019047355,0.016361963,0.015386811,0.17042011,0.06300613,0.0005564913
-292,0.014744682,0.0095669655,0.00555947,0.0034135072,0.1263268,0.030507866,0.12914012,0.015404453,0.013144088,0.021171395,0.03422913,0.02717325,0.01462183,0.031446323,0.009849717,0.024618616,0.0036504131,0.0028305866,0.01978933,0.014773871,0.015500528,0.004258446,0.019899983,0.014778769,0.012865707,0.010234642,0.019453924,0.0074514267,0.0020372316,0.018897988,0.0030554903,0.03463262,0.018551473,0.016684659,0.015122106,0.17235391,0.06225862,0.00052495295
-291,0.013798756,0.008875555,0.00535009,0.0035258506,0.1259839,0.028583482,0.12910421,0.030729357,0.013188678,0.020017602,0.033751816,0.024788242,0.014529564,0.02844343,0.009354615,0.023265574,0.003535231,0.002611923,0.019419283,0.01468249,0.015389539,0.004122872,0.01927651,0.015322391,0.012998011,0.00958586,0.018940711,0.008041696,0.0022252663,0.017960684,0.00312277,0.033051535,0.016799824,0.01648775,0.015408286,0.1735521,0.064174525,0.00068955706
-290,0.014335327,0.009418556,0.005350217,0.0032736904,0.1211276,0.030608516,0.1245123,0.015144722,0.01291312,0.021069687,0.03275195,0.02494472,0.0142108835,0.031041436,0.010080319,0.024565995,0.0036750233,0.0026268002,0.019312996,0.014311529,0.015302477,0.004188951,0.01963833,0.01479977,0.012677403,0.010030216,0.019225998,0.007958075,0.0021401355,0.01882003,0.0031834962,0.03468075,0.017641656,0.016884625,0.015173712,0.19081706,0.061561905,0.0005807788
-289,0.014393653,0.009360918,0.0055928826,0.0033731684,0.1232705,0.030794846,0.12384329,0.015199031,0.012949215,0.020829614,0.033966456,0.025759617,0.014312114,0.031081412,0.00995319,0.02441474,0.0036075206,0.0025565117,0.01937966,0.014304428,0.015352805,0.0042704307,0.019638743,0.014834873,0.012713289,0.010022111,0.019254854,0.007939981,0.002139136,0.018951418,0.0031765867,0.036116593,0.01780406,0.01729008,0.014946984,0.18531898,0.061286345,0.0005985088
-288,0.0137701705,0.009221874,0.0056235893,0.0033483363,0.12175514,0.030657446,0.13050216,0.01517684,0.012933299,0.020933835,0.03262383,0.024833757,0.014303313,0.031122781,0.009678445,0.024219204,0.003465211,0.0026528994,0.01942642,0.014287484,0.015320025,0.0042636064,0.019666208,0.0153279165,0.012690773,0.010087727,0.019223198,0.007618624,0.0021767458,0.018963743,0.0031904012,0.03418367,0.017940138,0.017313972,0.015041756,0.18478578,0.06166963,0.00058261474
-287,0.014017653,0.009444604,0.005708109,0.0031666702,0.11950225,0.031851165,0.12920354,0.015078731,0.012829158,0.0210532,0.03258619,0.023806412,0.013963073,0.028416744,0.010470031,0.024517363,0.0036408433,0.002628155,0.019146627,0.014314596,0.015288981,0.004146486,0.019679004,0.015276283,0.012563696,0.01001183,0.019419555,0.007519432,0.0022020766,0.0194504,0.003133388,0.033623762,0.018553356,0.017034035,0.015308524,0.18812427,0.063319825,0.0005919727
-286,0.013974279,0.009645326,0.005814734,0.0031379655,0.12074029,0.031715564,0.12794945,0.015060378,0.012832848,0.021088442,0.03299271,0.023762994,0.013927938,0.028014243,0.010526094,0.02446709,0.0036766217,0.0025837976,0.019124074,0.014371899,0.015264362,0.0041408334,0.019595671,0.014925232,0.012543372,0.010007682,0.019404396,0.007562524,0.0022321914,0.019557023,0.0031018937,0.03413236,0.018741965,0.017351901,0.015339513,0.18664634,0.06404594,0.0006309819
